Movie_id,Title,Year,Genre,Director,Producer,Writer,Actress,Actor,MPAA,Rating
2390924,3 Idiots,2009,Drama,Chandrashekhar,Chandrashekhar,Chandrashekhar,"Bhalla, Meghna","Agnihotri, Saurabh",PG-13 ,8.5
2391042,3 Nights in the Desert,2014,Drama,"Tamblyn, Amber","Bentley, Wes","Tamblyn, Amber","Newberry, Alex","Bentley, Wes",R ,6.3
2391043,3 Ninjas,1992,Comedy,"Powell, Clifton","Labyorteaux, Patrick","Labyorteaux, Patrick","Burr, Fritzi","Caudill, Scott",PG ,5.1
2391044,3 Ninjas Kick Back,1994,Comedy,"Nguyen, Dustin","Bonifant, J. Evan","Dentie, Gino","Franco, Margarita","Bonifant, J. Evan",PG ,4.2
2391046,3 Ninjas Knuckle Up,1995,Comedy,"Cadiente, Jeff","Kilpatrick, Patrick","Kilpatrick, Patrick","Gunderson, Janie Melissa","Cadiente, Jeff",PG-13 ,4
2391047,3 Ninjas: High Noon at Mega Mountain,1998,Comedy,"Jackson, Duke","Fiorino, Anthony","Krebs, Jeff","Anderson, Loni","Ackler, Joseph",PG ,2.7
2391344,30 Beats,2012,Comedy,"Creed, Matt","Balletta, Louis","Balletta, Louis","Baxa, Elizabeth","Balletta, Louis",R ,4.1
2391372,30 Days of Night,2007,Horror,"Bennett, Manu","Bennett, Manu","Boone Junior, Mark","Billington, Melissa","Bennett, Manu",R ,6.6
2391425,30 Minutes or Less,2011,Comedy,"Ansari, Aziz","Ansari, Aziz","Ansari, Aziz","Adler, Ashley","Adkins, Torey",R ,6.2
2391437,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,Comedy,"Bray, Damien","Beinbrink, Will","del Puerto, Arturo","Alexander, Olivia","Bailey, Seth",R ,2.6
2391513,30 Years to Life,2001,Drama,"Hardison, Kadeem","Alonso, Laz","Brill, Eddie","Alexander, Erika","Alonso, Laz",R ,5.9
2391538,300,2006,War,"McHattie, Stephen","Butler, Gerard","Holden, Arthur","Aspirot, Caroline","Benskin, Tyrone",R ,7.8
2391595,3000 Miles to Graceland,2001,Thriller,"Arquette, David","Arlt, Eric","Arquette, David","Bernasek, Georgie","Abrahams, Doug",R ,5.9
2391604,300: Rise of an Empire,2014,Drama,"Dalglish, Wayne","Asenov, Asen","Decker, Max","Carmichael, Caitlin","Alexiev, Dimo",R ,6.3
2391621,305,2008,Comedy,"Best, Jordan","Bales, B.J.","Holechek, David","Coomes, Malani","Arnold, Alex",PG-13 ,3.3
2391662,31 North 62 East,2009,Thriller,"Cezan, Ray","Calil, George","Campbell-Mac, John","Ahmed, Kirstin","Al Hammadin, Mazin Azri",R ,4.2
2391824,35 and Ticking,2011,Comedy,"McDowell, Ethan","Collins, Skoti","Collins, Skoti","Barbell, Amber","Alexander, Brandon",R ,5.7
2391902,36 Saints,2013,Thriller,"G, Franky","Col�n, Dominic","Col�n, Dominic","Assante, Alesandra","Alvaira, Antonio",R ,2.8
2391910,360,2011,Drama,"Debbouze, Jamel","Debbouze, Jamel","Cazarr�, Juliano","Chung, Chipo","Balogh, Russell",R ,6.2
2392090,3:10 to Yuma,2007,Drama,"Blackburn, James","Bale, Christian","Blackburn, James","Bartleson, Barbara","Alexander, Rio",R ,7.8
2392533,40 Days and 40 Nights,2002,Comedy,"Costanzo, Paulo","Costanzo, Paulo","Dunne, Griffin","Alexandria, Theresa","Anderson, Stanley",R ,5.6
2392593,40 Point Plan,2012,Drama,"Hecker, Andrew","Acebo, Mirella","Acebo, Mirella","Anderson, Staci","Acebo, Mirella",PG ,8.6
2392759,42,2013,Drama,"Bales, Jeremy","Blinder, Ari","Blinder, Ari","Beharie, Nicole","Akers, Bobby",PG-13 ,7.5
2392863,44 Inch Chest,2009,Drama,"Berkoff, Steven","McShane, Ian","Berkoff, Steven","Dor�, Edna","Berkoff, Steven",R ,5.8
2392914,45 Years,2015,Drama,"Jackson, Peter Dean","Jackson, Peter Dean","Jackson, Peter Dean","Banham, Rachel","Alexander, Sam",R ,7.4
2392963,47 Ronin,2013,Drama,"Asano, Tadanobu","Bagayawa, Eddie","Ishida, Tanroh","Abe, Haruka","Akanishi, Jin",PG-13 ,6.3
2392987,48 Angels,2007,Drama,"Brolly, Shane","Brolly, Shane","Brolly, Shane","Hand, Michelle","Brolly, Clark",PG-13 ,5.6
2393085,4: Rise of the Silver Surfer,2007,Thriller,"Abdelhak, Fareed","Abdelhak, Fareed","Abdelhak, Fareed","Alba, Jessica","Abdelhak, Fareed",PG ,5.6
2393102,4:44 Last Day on Earth,2011,Drama,"Hipp, Paul","Dafoe, Willem","Dafoe, Willem","Dafoe, Muriel Sprissler","Akka, Andy",R ,4.5
2393247,5 Bravo,2014,Thriller,"Becker, Kuno","Becker, Kuno","Becker, Kuno","Aurora, Papile","Becker, Kuno",R ,4.6
2393269,5 Days of War,2011,Drama,"Albright, Luke","Albright, Luke","Albright, Luke","Chriqui, Emmanuelle","Abuladze, Malkhaz",R ,5.6
2393301,5 Flights Up,2014,Drama,"Bristow, James C.","Bristow, James C.","Bristow, James C.","Adler, Joanna","Bristow, James C.",,6.1
2393354,5 huajai hero,2009,Comedy,"Thongdee, Bhandit","Nguyen, Johnny","Nguyen, Johnny","De Groot, Angela","Augkuravanidkul, Suvijak",R ,5.8
2393504,5 to 7,2014,Drama,"Stoltz, Eric","Stoltz, Eric","Remnick, David","Carlson, Lauren","Bond, Julian",R ,7.1
2393613,50 First Dates,2004,Comedy,"Astin, Sean","Astin, Sean","Astin, Sean","Barrymore, Drew","Abesamis, Americus",PG-13 on appeal ,6.8
2393703,50 to 1,2014,Drama,"Allen, Matthew W.","Adkins, Seth","Allen, Matthew W.","Badami, Jessi","Adkins, Seth",PG-13 ,6.6
2393710,50 Ways to Leave Your Lover,2004,Comedy,"Christian, Shawn","Christian, Shawn","Christian, Shawn","Aufranc, Kaarina","Anderson, Sam",R ,6
2393760,50/50,2011,Drama,"Douglas, D.C.","Burton, Richard C.","Burton, Richard C.","Avgeropoulos, Marie","Airlie, Andrew",R ,7.7
2393846,51,2011,Horror,"Evermore, J.D.","Boxleitner, Bruce","Djurovic, Ivan","Arender, Tammi","Austin, Randy",R ,3.4
2393927,54,1998,Drama,"Bartha, Justin","Baldwin, Heath Jacob","Bartha, Justin","Albertini Dow, Ellen","Andrews, Jason",R ,5.8
2394014,58: The Film,2011,Documentary,"Neeves, Tim","Neeves, Tony","Neeves, Mairi",\N,\N,PG-13 ,6.8
2394109,5up 2down,2006,Drama,"De Bankol�, Isaach","Bogue, Robert","Bogue, Robert","Boudreau, Natane","Acevedo, Kirk",R ,6.4
2394113,5x2,2004,Drama,"Freiss, St�phane","Tavassoli, Jason","Chappey, Antoine","Bruni Tedeschi, Valeria","Angioni, Carlo-Antonio",R ,6.7
2394138,6 Bullets,2012,Thriller,"Emil, Uriel","Emil, Uriel","Dempsey, Louis","Beaumont, Charlotte","Beels, Frank",R ,6.1
2394209,6 Month Rule,2011,Comedy,"Adams, Patrick J.","Adams, Patrick J.","Barrera, Brandon","Aphrodite, Reila","Adams, Patrick J.",R ,4.8
2394237,6 Souls,2010,Horror,"Ambler, Jeremy","Bernard, Aaron","Corddry, Nate","Annacini, Elysia","Ambler, Jeremy",R ,6.1
